type,project_cost,number_of_workers,project_result
manufacturing,120000000,55,Success
manufacturing,340000,52,Fail
manufacturing,80000000,130,Fail
finance,420000000,225,Fail
finance,300000000,192,Fail
finance,60000000,99,Fail
finance,200000000,206,Fail
manufacturing,50000000,86,Fail
manufacturing,25000000,72,Fail
finance,150000000,166,Fail
finance,100000000,154,Fail
manufacturing,100000000,133,Fail
finance,120000000,136,Fail
finance,112000000,103,Fail
finance,200000000,216,Fail
finance,40000000,111,Fail
finance,100000000,194,Fail
finance,250000000,98,Fail
finance,200000000,127,Fail
finance,50000000,138,Fail
finance,300000000,63,Fail
finance,50000000,229,Fail
finance,250000000,196,Fail
manufacturing,20000000,169,Fail
finance,300000000,141,Fail
finance,223000000,165,Fail
finance,200000000,155,Fail
finance,750000000,86,Fail
finance,700000000,52,Fail
finance,117100000,171,Fail
finance,500000000,149,Fail
finance,105000000,158,Fail
finance,100000000,159,Fail
finance,50000000,249,Fail
finance,20000000,226,Fail
finance,70000000,168,Fail
finance,200000000,67,Fail
manufacturing,20000000,160,Fail
manufacturing,300000000,222,Fail
finance,20000000,199,Fail
finance,100000000,149,Fail
finance,50000000,229,Fail
finance,150000000,61,Fail
finance,600000000,92,Fail
finance,500000000,219,Fail
finance,200000000,107,Fail
finance,70000000,137,Fail
finance,903500000,174,Fail
finance,225000000,111,Fail
finance,200000000,114,Fail
finance,115000000,244,Fail
finance,210000000,203,Fail
finance,325000000,95,Fail
manufacturing,75000000,154,Fail
manufacturing,100000000,154,Fail
finance,750000000,62,Fail
finance,100000000,217,Success
finance,30000000,135,Fail
finance,700000000,83,Fail
finance,18000000,126,Fail
finance,250000000,207,Fail
finance,100000000,69,Fail
finance,300000000,64,Fail
manufacturing,10000000,51,Fail
manufacturing,30000000,127,Fail
finance,100000000,174,Fail
finance,920000000,188,Fail
finance,150000000,55,Fail
finance,100000000,215,Fail
finance,50000000,57,Fail
finance,150000000,196,Fail
finance,30000000,177,Fail
finance,210000000,96,Fail
finance,75000000,249,Fail
finance,300000000,198,Fail
finance,50000000,215,Fail
finance,220000000,197,Fail
manufacturing,250000000,177,Fail
finance,100000000,214,Fail
finance,50000000,149,Fail
finance,182930000,224,Success
finance,15000000,129,Fail
finance,350000000,230,Success
